番仔薑	番仔薑 🌶
甜椒	甜椒 🫑
刺瓜	刺瓜 🥒
青菜	青菜 🥬
白菜	白菜 🥬
花菜	花菜 🥦
蒜頭	蒜頭 🧄
洋蔥	洋蔥 🧅
蔥頭	蔥頭 🧅
塗豆	塗豆 🥜
豆仔	豆仔 🫘
栗子	栗子 🌰
薑	薑 🫚
荷蘭豆	荷蘭豆 🫛
俗麭	俗麭 🍞
麭	麭 🍞
牛角麵包	牛角麵包 🥐
法國麵包	法國麵包 🥖
大餅	大餅 🫓
椒鹽卷餅	椒鹽卷餅 🥨
貝果	貝果 🥯
煎餅	煎餅 🥞 🌯
鬆餅	鬆餅 🧇
起司	起司 🧀
cheese	cheese 🧀
肉	肉 🍖 🥩
排骨	排骨 🍖
雞腿	雞腿 🍗
肉排	肉排 🥩
牛排	牛排 🥩
培根	培根 🥓
漢堡	漢堡 🍔
和肉佮	和肉佮 🍔
薯條	薯條 🍟
披薩	披薩 🍕
pizza	pizza 🍕
熱狗	熱狗 🌭
三明治	三明治 🥪
俗麭𩛩	俗麭𩛩 🥪
墨西哥卷餅	墨西哥卷餅 🌮 🌯
卵	卵 🥚
雞卵	雞卵 🥚
煮食	煮食 🍳
煎蛋	煎蛋 🍳
食食	食食 🥘 🍲
火鍋	火鍋 🥘 🍲
起司火鍋	起司火鍋 🫕
碗	碗 🥣
湯	湯 🥣
沙拉	沙拉 🥗
玉米花	玉米花 🍿
奶油	奶油 🧈
鹽	鹽 🧂
罐頭	罐頭 🥫
便當	便當 🍱
飯盒	飯盒 🍱
米餅	米餅 🍘
飯丸	飯丸 🍙
飯	飯 🍚
咖哩	咖哩 🍛
咖哩飯	咖哩飯 🍛
拉麵	拉麵 🍜
麵	麵 🍜
義大利麵	義大利麵 🍝
番薯	番薯 🍠
壽司	壽司 🍣
sú-sih	sú-sih 🍣
糋蝦仔	糋蝦仔 🍤
天婦羅	天婦羅 🍤
魚板	魚板 🍥
月餅	月餅 🥮
糰子	糰子 🍡
水餃	水餃 🥟
幸運餅乾	幸運餅乾 🥠
外帶盒	外帶盒 🥡
蟳	蟳 🦀
龍蝦	龍蝦 🦞
蝦仔	蝦仔 🦐
花枝	花枝 🦑
透抽	透抽 🦑
蚵仔	蚵仔 🦪
霜淇淋	霜淇淋 🍦
冰淇淋	冰淇淋 🍦 🍨
礤冰	礤冰 🍧
甜甜圈	甜甜圈 🍩
餅乾	餅乾 🍪
cookie	cookie 🍪
雞卵糕	雞卵糕 🍰 🎂
生日蛋糕	生日蛋糕 🎂
派	派 🥧
巧克力	巧克力 🍫
糖仔	糖仔 🍬
棒棒糖	棒棒糖 🍭
布丁	布丁 🍮
蜂蜜	蜂蜜 🍯
奶瓶	奶瓶 🍼
牛奶	牛奶 🥛
咖啡	咖啡 ☕
茶米茶	茶米茶 🫖
茶	茶 🍵
清酒	清酒 🍶
香檳	香檳 🍾
葡萄酒	葡萄酒 🍷
酒	酒 🍷
雞尾酒	雞尾酒 🍸
果汁	果汁 🍹
啤酒	啤酒 🍺
beer	beer 🍺
乾杯	乾杯 🍻 🥂
予焦啦 	予焦啦 🍻 🥂
威士忌	威士忌 🥃
倒	倒 🫗
飲料	飲料 🥤
涼的	涼的 🥤
珍珠奶茶	珍珠奶茶 🧋
真珠奶茶	真珠奶茶 🧋
奶茶	奶茶 🧋
鋁箔包	鋁箔包 🧃
冰角	冰角 🧊
箸	箸 🥢
餐具	餐具 🍽
刀叉	刀叉 🍴
湯匙	湯匙 🥄
刀	刀 🔪
菜刀	菜刀 🔪
罐仔	罐仔 🫙
地球	地球 🌐 🌍 🌎 🌏
地球儀	地球儀 🌍 🌎 🌏
歐洲	歐洲 🌍
非洲	非洲 🌍
美洲	美洲 🌎
亞洲	亞洲 🌏
澳洲	澳洲 🌏 🇦🇺
世界地圖	世界地圖 🗺
日本地圖	日本地圖 🗾
指南針	指南針 🧭
雪山	雪山 🏔
山	山 ⛰️
火山	火山 🌋
富士山	富士山 🗻
露營	露營 🏕
海沙埔	海沙埔 🏖
海坪	海坪 🏖
沙漠	沙漠 🏜
無人島	無人島 🏝
國家公園	國家公園 🏞
體育場	體育場 🏟
古蹟	古蹟 🏛
博物館	博物館 🏛
施工	施工 🏗 🚧
磚仔	磚仔 🧱
石頭	石頭 🪨
柴	柴 🪵
小屋	小屋 🛖
販厝	販厝 🏘
社區	社區 🏘
舊厝	舊厝 🏚
厝	厝 🏠
別莊	別莊 🏡
辦公大樓	辦公大樓 🏢
日本郵局	日本郵局 🏣
郵局	郵局 🏤 🏣
病院	病院 🏥
銀行	銀行 🏦
飯店	飯店 🏨
hotel	hotel 🏨
Motel	Motel 🏩
愛情HOTEL	愛情HOTEL 🏩
便利商店	便利商店 🏪
學校	學校 🏫
百貨公司	百貨公司 🏬
工廠	工廠 🏭
工場	工場 🏭
城堡	城堡 🏯 🏰
婚禮	婚禮 💒
教堂	教堂 💒 ⛪
東京鐵塔	東京鐵塔 🗼
自由女神像	自由女神像 🗽
清真寺	清真寺 🕌
印度廟	印度廟 🛕
神社	神社 ⛩️
聖地	聖地 🕋
噴泉	噴泉 ⛲
帳篷	帳篷 ⛺
罩霧	罩霧 🌁
罩雺	罩雺 🌁
暗時	暗時 🌃
下昏	下昏 🌃
半暝	半暝 🌃
都市	都市 🏙
透早	透早 🌄 🌅
黃昏	黃昏 🌆
欲暗仔	欲暗仔 🌆
夕陽	夕陽 🌇
橋	橋 🌉
溫泉	溫泉 ♨️
歇睏	歇睏 ♨️
旋轉木馬	旋轉木馬 🎠
溜滑梯	溜滑梯 🛝
摩天輪	摩天輪 🎡
雲霄飛車	雲霄飛車 🎢
剃頭店	剃頭店 💈
馬戲團	馬戲團 🎪
火車頭	火車頭 🚂
車母	車母 🚂
電車	電車 🚃
高鐵	高鐵 🚄 🚅
火車	火車 🚆
捷運	捷運 🚇
輕鐵	輕鐵 🚈
車站	車站 🚉
車頭	車頭 🚉
單軌電車	單軌電車 🚝
纜車	纜車 🚞
有軌電車	有軌電車 🚋
公車	公車 🚌 🚍
巴士	巴士 🚌 🚍
無軌電車	無軌電車 🚎
麵包車	麵包車 🚐
救護車	救護車 🚑
消防車	消防車 🚒
水龍車	水龍車 🚒
警察車	警察車 🚓 🚔
計程車	計程車 🚕 🚖
汽車	汽車 🚗 🚘
車	車 🚗
休旅車	休旅車 🚙
SUV	SUV 🚙
貨車	貨車 🚚 🚛
thoo-lá-khuh	thoo-lá-khuh 🚚 🚛
拖拉機	拖拉機 🚜
賽車	賽車 🏎
機車	機車 🏍
oo-tóo-bái	oo-tóo-bái 🛵
烏肚䆀	烏肚䆀 🛵
電動車	電動車 🛵
輪椅	輪椅 🦽 ♿
三輪車	三輪車 🛺
鐵馬	鐵馬 🚲
跤踏車	跤踏車 🚲
滑板車	滑板車 🛴
滑板	滑板 🛹
四輪仔鞋	四輪仔鞋 🛼
公車站牌	公車站牌 🚏
高速公路	高速公路 🛣
鐵軌	鐵軌 🛤
鐵枝路	鐵枝路 🛤
油桶	油桶 🛢
加油站	加油站 ⛽
輪仔	輪仔 🛞
警車燈	警車燈 🚨
紅綠燈	紅綠燈 🚥 🚦
停止標仔	停止標仔 🛑
施工中	施工中 🚧
錨	錨 ⚓
救生圈	救生圈 🛟
帆船	帆船 ⛵
獨木舟	獨木舟 🛶
快艇	快艇 🚤
客輪	客輪 🛳
渡輪	渡輪 ⛴
遊艇	遊艇 🛥
船	船 🚢
飛行機	飛行機 ✈️
旅行	旅行 ✈️
小飛行機	小飛行機 🛩
起飛	起飛 🛫
降落	降落 🛬
跳傘	跳傘 🪂
座位	座位 💺
直升機	直升機 🚁
田嬰機	田嬰機 🚁
空中纜車	空中纜車 🚡
衛星	衛星 🛰
火箭	火箭 🚀
UFO	UFO 🛸
飛碟	飛碟 🛸
服務鈴	服務鈴 🛎
行李	行李 🧳
沙漏	沙漏 ⌛ ⏳
手錶	手錶 ⌚
時鐘	時鐘 ⏰
碼錶	碼錶 ⏱
計時器	計時器 ⏲
座鐘	座鐘 🕰
十二點	十二點 🕛
十二點半	十二點半 🕧
一點	一點 🕐
一點半	一點半 🕜
兩點	兩點 🕑
兩點半	兩點半 🕝
三點	三點 🕒
三點半	三點半 🕞
四點	四點 🕓
四點半	四點半 🕟
五點	五點 🕔
五點半	五點半 🕠
六點	六點 🕕
六點半	六點半 🕡
七點	七點 🕖
七點半	七點半 🕢
八點	八點 🕗
八點半	八點半 🕣
九點	九點 🕘
九點半	九點半 🕤
十點	十點 🕙
十點半	十點半 🕥
十一點	十一點 🕚
十一點半	十一點半 🕦
新月	新月 🌑 🌚
眉月	眉月 🌒 🌘
上弦月	上弦月 🌓 🌛
滿月	滿月 🌕 🌝
下弦月	下弦月 🌗 🌜
月娘	月娘 🌙
度針	度針 🌡
日頭	日頭 ☀️ 🌞
好天	好天 ☀️
行星	行星 🪐
土星	土星 🪐
星	星 ⭐ 🌟
閃爍	閃爍 ✨
金閃閃	金閃閃 ✨
流星	流星 🌠
下願	下願 🌠
星空	星空 🌌
銀河	銀河 🌌
雲	雲 ☁️
陰天	陰天 ⛅
雷陣雨	雷陣雨 ⛈️
少雲	少雲 🌤
落雨	落雨 🌧 ☔
落雪	落雪 🌨 ❄️
雷公	雷公 🌩
捲螺仔風	捲螺仔風 🌪
霧	霧 🌫
風神	風神 🌬
風颱	風颱 🌀
虹	虹 🌈
雨傘	雨傘 🌂 ☂️
爍爁	爍爁 ⚡
雪	雪 ❄️
雪人	雪人 ⛄
彗星	彗星 ☄️
火	火 🔥
火焰	火焰 🔥
燒	燒 🔥
著火	著火 🔥
水滴	水滴 💧
海浪	海浪 🌊
萬聖節	萬聖節 🎃
金瓜	金瓜 🎃
聖誕樹	聖誕樹 🎄
煙火	煙火 🎆 🎇
炮仔	炮仔 🧨
閃亮	閃亮 ✨
氣球	氣球 🎈
恭喜	恭喜 🎉
七夕	七夕 🎋
門松	門松 🎍
日本娃娃	日本娃娃 🎎
鯉魚旗	鯉魚旗 🎏
風鈴	風鈴 🎐
中秋	中秋 🎑
紅包	紅包 🧧
蝴蝶結	蝴蝶結 🎀
禮物	禮物 🎁
紀念章	紀念章 🎖
獎盃	獎盃 🏆
獎牌	獎牌 🏅
金牌	金牌 🥇
銀牌	銀牌 🥈
銅牌	銅牌 🥉
跤球	跤球 ⚽
野球	野球 ⚾
棒球	棒球 ⚾
壘球	壘球 🥎
籃球	籃球 🏀
排球	排球 🏐
橄欖球	橄欖球 🏈 🏉
網球	網球 🎾
飛盤	飛盤 🥏
保齡球	保齡球 🎳
板球	板球 🏏
曲棍球	曲棍球 🏑
冰球	冰球 🏒
袋棍球	袋棍球 🥍
乒乓球	乒乓球 🏓
羽毛球	羽毛球 🏸
拳擊手套	拳擊手套 🥊
武術服	武術服 🥋
球門	球門 🥅
高爾夫球洞	高爾夫球洞 ⛳
溜冰鞋	溜冰鞋 ⛸
溜冰	溜冰 ⛸
釣魚	釣魚 🎣
潛水鏡	潛水鏡 🤿
潛水	潛水 🤿
運動衫	運動衫 🎽
滑雪橇	滑雪橇 🎿
雪橇	雪橇 🛷
冰壺	冰壺 🥌
靶心	靶心 🎯
命中	命中 🎯
溜溜球	溜溜球 🪀
風吹	風吹 🪁
水銃	水銃 🔫
銃	銃 🔫
挵球	挵球 🎱
水晶球	水晶球 🔮
占卜	占卜 🔮
魔法棒	魔法棒 🪄
手把	手把 🎮
遊戲	遊戲 🎮
搖桿	搖桿 🕹
吃角子老虎	吃角子老虎 🎰
賭博	賭博 🎰 🎲
跋筊	跋筊 🎰 🎲
骰子	骰子 🎲
鬥圖	鬥圖 🧩
泰迪熊	泰迪熊 🧸
鏡球	鏡球 🪩
俄羅斯娃娃	俄羅斯娃娃 🪆
撲克	撲克 ♠️ ♥️ ♦️ ♣️ 🃏
黑桃	黑桃 ♠️
紅心	紅心 ♥️
愛	愛 ♥️
心	心 ♥️
方塊	方塊 ♦️
梅花	梅花 ♣️
國際象棋	國際象棋 ♟
鬼牌	鬼牌 🃏
joker	joker 🃏
紅中	紅中 🀄
麻雀	麻雀 🀄
花牌	花牌 🎴
面具	面具 🎭
畫	畫 🖼
畫圖	畫圖 🎨
線	線 🧵
針	針 🪡
針線	針線 🪡
毛線	毛線 🧶
索仔	索仔 🪢
目鏡	目鏡 👓
蛙鏡	蛙鏡 🥽
白袍	白袍 🥼
安全背心	安全背心 🦺
領帶	領帶 👔
衫	衫 👕
短袖	短袖 👕
T恤	T恤 👕
褲	褲 👖
牛仔褲	牛仔褲 👖
圍巾	圍巾 🧣
手套	手套 🧤
外套	外套 🧥
襪仔	襪仔 🧦
洋裝	洋裝 👗
裙	裙 👗
和服	和服 👘
泳裝	泳裝 🩱 👙
內褲	內褲 🩲
短褲	短褲 🩳
比基尼	比基尼 👙
內衣	內衣 👙
女裝	女裝 👚
扇	扇 🪭
皮包	皮包 👛
手提包	手提包 👜
包包	包包 👜
購物袋	購物袋 🛍
冊包	冊包 🎒
背包	背包 🎒
拖仔	拖仔 🩴
淺拖	淺拖 🩴
皮鞋	皮鞋 👞
運動鞋	運動鞋 👟
登山鞋	登山鞋 🥾
平底鞋	平底鞋 🥿
懸踏	懸踏 👠
涼鞋	涼鞋 👡
芭蕾舞鞋	芭蕾舞鞋 🩰
靴	靴 👢
梳仔	梳仔 🪮
王冠	王冠 👑
皇冠	皇冠 👑
帽仔	帽仔 👒 🎩
學士帽	學士帽 🎓
棒球帽	棒球帽 🧢
頭盔	頭盔 🪖
安全帽	安全帽 ⛑️
念珠	念珠 📿
胭脂	胭脂 💄
戒指	戒指 💍
鑽石	鑽石 💎
靜音	靜音 🔇
中音量	中音量 🔉
大音量	大音量 🔊
放送頭	放送頭 📢
喇叭	喇叭 📣
鈴鐺	鈴鐺 🔔
樂譜	樂譜 🎼
音符	音符 🎵 🎶
音樂	音樂 🎵 🎶
mài-kù	mài-kù 🎙 🎤
控制鈕	控制鈕 🎛
耳機	耳機 🎧
收音機	收音機 📻
薩克斯風	薩克斯風 🎷
手風琴	手風琴 🪗
吉他	吉他 🎸
鋼琴	鋼琴 🎹
小號	小號 🎺
小提琴	小提琴 🎻
班卓琴	班卓琴 🪕
鼓	鼓 🥁
手機	手機 📱
來電	來電 📲
電話	電話 ☎️
電話筒	電話筒 📞
呼叫器	呼叫器 📟
傳真機	傳真機 📠
電池	電池 🔋
ba̍t-té-lih	ba̍t-té-lih 🔋
無電	無電 🪫
插頭	插頭 🔌
筆電	筆電 💻
電腦	電腦 🖥
印表機	印表機 🖨
鍵盤	鍵盤 ⌨️
齒盤	齒盤 ⌨️
齒佈	齒佈 ⌨️
滑鼠	滑鼠 🖱
光碟	光碟 💽
軟碟	軟碟 💾
CD	CD 💿
DVD	DVD 📀
算盤	算盤 🧮
攝影機	攝影機 🎥 📹
電影	電影 🎞
膠卷	膠卷 🎞
放映機	放映機 📽
拍電影	拍電影 🎬
action	action 🎬
電視	電視 📺
相機	相機 📷
翕相	翕相 📸
錄影帶	錄影帶 📼
譀鏡	譀鏡 🔍 🔎
蠟燭	蠟燭 🕯
電火	電火 💡
電燈	電燈 💡
手電	手電 🔦
燈籠	燈籠 🏮
油燈	油燈 🪔
簿仔紙	簿仔紙 📔 📓 📒
冊	冊 📕 📖 📚
紅色的冊	紅色的冊 📕
綠色的冊	綠色的冊 📗
藍色的冊	藍色的冊 📘
橘色的冊	橘色的冊 📙
紙	紙 📄
報紙	報紙 📰
書籤	書籤 🔖
標籤	標籤 🏷
錢袋	錢袋 💰
銀角仔	銀角仔 🪙
銀票	銀票 💵
紙票	紙票 💵
錢飛去	錢飛去 💸
信用卡	信用卡 💳
收據	收據 🧾
批	批 ✉️
電子批	電子批 📧
收批	收批 📨
寄批	寄批 📤
收電子批	收電子批 📥
包裹	包裹 📦
快遞	快遞 📦
箱仔	箱仔 📦
批桶	批桶 📪
郵筒	郵筒 📮
投票	投票 🗳
鉛筆	鉛筆 ✏️
筆	筆 ✒️ 🖋 🖊
畫筆	畫筆 🖌
蠟筆	蠟筆 🖍
筆記	筆記 📝
公事包	公事包 💼
上班	上班 💼
做工課	做工課 💼
資料鋏	資料鋏 📁 📂
日曆	日曆 📅
掛曆	掛曆 📆
記事本	記事本 🗒
月曆	月曆 🗓
卡片索引	卡片索引 📇
上漲	上漲 📈
下跌	下跌 📉
圖表	圖表 📊
寫字板	寫字板 📋
圖釘	圖釘 📌
迴紋針	迴紋針 📎 🖇
尺	尺 📏
三角尺	三角尺 📐
鉸刀	鉸刀 ✂️
文件櫃	文件櫃 🗄
糞埽桶	糞埽桶 🗑
糞埽	糞埽 🗑
鎖	鎖 🔒 🔓
上鎖	上鎖 🔒
開鎖	開鎖 🔓
鑰匙	鑰匙 🔑 🗝
槌仔	槌仔 🔨
斧頭	斧頭 🪓
鎬	鎬 ⛏️
工具	工具 🛠
家私	家私 🛠
劍	劍 🗡
雙劍	雙劍 ⚔️
炸彈	炸彈 💣
迴力鏢	迴力鏢 🪃
弓箭	弓箭 🏹
盾牌	盾牌 🛡
鋸仔	鋸仔 🪚
扳手	扳手 🔧
螺絲起子	螺絲起子 🪛
螺絲	螺絲 🔩
齒輪	齒輪 ⚙️
夾鉗	夾鉗 🗜
天平	天平 ⚖️
白手杖	白手杖 🦯
連結	連結 🔗
link	link 🔗
鏈	鏈 ⛓️
鉤仔	鉤仔 🪝
工具箱	工具箱 🧰
磁鐵	磁鐵 🧲
梯仔	梯仔 🪜
試管	試管 🧪
DNA	DNA 🧬
基因	基因 🧬
顯微鏡	顯微鏡 🔬
千里鏡	千里鏡 🔭
召鏡	召鏡 🔭
天線	天線 📡
針筒	針筒 💉
注射	注射 💉
血	血 🩸
藥仔	藥仔 💊
OK繃	OK繃 🩹
拐仔	拐仔 🩼
聽診器	聽診器 🩺
X光	X光 🩻
門	門 🚪
電梯	電梯 🛗
流籠	流籠 🛗
鏡	鏡 🪞
窗仔	窗仔 🪟
床	床 🛏
膨椅	膨椅 🛋
椅仔	椅仔 🪑
馬桶	馬桶 🚽
馬桶吸盤	馬桶吸盤 🪠
蓮苞頭	蓮苞頭 🚿
浴缸	浴缸 🛁
剾仔	剾仔 🪒
喙鬚剾仔	喙鬚剾仔 🪒
乳液	乳液 🧴
安全別針	安全別針 🧷
掃帚	掃帚 🧹
籃仔	籃仔 🧺
衛生紙	衛生紙 🧻
桶仔	桶仔 🪣
茶箍	茶箍 🧼
雪文	雪文 🧼
泡沫	泡沫 🫧
齒抿仔	齒抿仔 🪥
洗	洗 🧽
滅火器	滅火器 🧯
購物車	購物車 🛒
薰	薰 🚬
食薰	食薰 🚬
棺柴	棺柴 ⚰️
墓牌	墓牌 🪦
金斗甕仔	金斗甕仔 ⚱️
黃金甕仔	黃金甕仔 ⚱️
惡魔之眼	惡魔之眼 🧿
法蒂瑪之手	法蒂瑪之手 🪬
摩艾石像	摩艾石像 🗿
標語	標語 🪧
身份證	身份證 🪪 🆔
ID	ID 🪪 🆔
ATM	ATM 🏧
提款機	提款機 🏧
糞埽入桶	糞埽入桶 🚮
擲糞埽	擲糞埽 🚮
水道水	水道水 🚰
飲用水	飲用水 🚰
輪椅標誌	輪椅標誌 ♿
男廁	男廁 🚹
女廁	女廁 🚺
便所	便所 🚻 🚾
嬰兒室	嬰兒室 🚼
海關	海關 🛂 🛃
行李提領處	行李提領處 🛄
行李寄放處	行李寄放處 🛅
警告	警告 ⚠️
注意	注意 ⚠️
危險	危險 ⚠️
注意囡仔	注意囡仔 🚸
禁止進入	禁止進入 ⛔
禁止	禁止 🚫 🈲
禁止騎車	禁止騎車 🚳
禁止食薰	禁止食薰 🚭
禁薰	禁薰 🚭
禁倒糞埽	禁倒糞埽 🚯
非飲用水	非飲用水 🚱
禁止行人	禁止行人 🚷
禁手機	禁手機 📵
十八禁	十八禁 🔞
放射性	放射性 ☢️
生化危機	生化危機 ☣️
頂	頂 ⬆️
右上	右上 ↗️
正爿	正爿 ➡️
右下	右下 ↘️
下	下 ⬇️
左下	左下 ↙️
倒爿	倒爿 ⬅️
左上	左上 ↖️
上下	上下 ↕️
左右	左右 ↔️
翻頭	翻頭 ↩️
重新整理	重新整理 🔃
順時針	順時針 🔃
逆時針	逆時針 🔄
back	back 🔙
end	end 🔚
on	on 🔛
soon	soon 🔜
top	top 🔝
禱告	禱告 🛐
原子	原子 ⚛️
奧姆	奧姆 🕉
大衛之星	大衛之星 ✡️
法輪	法輪 ☸️
太極	太極 ☯️
陰陽	陰陽 ☯️
十字架	十字架 ✝️
基督教	基督教 ✝️
東正教	東正教 ☦️
星月	星月 ☪️
和平	和平 ☮️
peace	peace ☮️
光明節	光明節 🕎
六芒星	六芒星 🔯
錫克教	錫克教 🪯
牡羊座	牡羊座 ♈
金牛座	金牛座 ♉
雙子座	雙子座 ♊
巨蟹座	巨蟹座 ♋
獅子座	獅子座 ♌
處女座	處女座 ♍
天秤座	天秤座 ♎
天蠍座	天蠍座 ♏
射手座	射手座 ♐
摩羯座	摩羯座 ♑
水瓶座	水瓶座 ♒
雙魚座	雙魚座 ♓
蛇夫座	蛇夫座 ⛎
隨機播放	隨機播放 🔀
循環播放	循環播放 🔁
單曲循環	單曲循環 🔂
播放	播放 ▶️
play	play ▶️
開始	開始 ▶️
緊轉	緊轉 ⏩
後一首	後一首 ⏭️
播放暫停	播放暫停 ⏯️
倒退	倒退 ◀️
倒轉	倒轉 ⏪
頂一首	頂一首 ⏮️
向上	向上 🔼
向下	向下 🔽
暫停	暫停 ⏸️
停止	停止 ⏹️
錄音	錄音 ⏺️
錄影	錄影 ⏺️
退出	退出 ⏏️
電影院	電影院 🎦
光度	光度 🔅 🔆
信號	信號 📶
網路	網路 🛜
震動	震動 📳
關機	關機 📴
查某	查某 ♀
女	女 ♀
查埔	查埔 ♂
男	男 ♂
迒性別	迒性別 ⚧ 🏳️‍⚧️
乘	乘 ✖️
加	加 ➕
減	減 ➖
除	除 ➗
等於	等於 🟰
雙驚嘆號	雙驚嘆號 ‼️
驚嘆問號	驚嘆問號 ⁉️
問號	問號 ❓ ❔
驚嘆號	驚嘆號 ❗ ❕
波浪線	波浪線 〰️
換錢	換錢 💱
錢	錢 💲
醫療	醫療 ⚕
環保	環保 ♻️
回收	回收 ♻️
百合花飾	百合花飾 ⚜️
三叉戟	三叉戟 🔱
名牌	名牌 📛
新手	新手 🔰
正確	正確 ⭕ ✅ ✔
圓箍仔	圓箍仔 ⭕
勾	勾 ✅ ✔
打勾	打勾 ☑️ ✔
錯誤	錯誤 ❌ ❎
捲曲	捲曲 ➰
版權	版權 ©
copyright	copyright ©
註冊	註冊 ®
商標	商標 ™
TM	TM ™
井號	井號 #️⃣
星號	星號 *️⃣
零	零 0️⃣
一	一 1️⃣
二	二 2️⃣
三	三 3️⃣
四	四 4️⃣
五	五 5️⃣
六	六 6️⃣
七	七 7️⃣
八	八 8️⃣
九	九 9️⃣
十	十 🔟
ABCD	ABCD 🔠
英文	英文 🔠 🔡
大寫	大寫 🔠
abcd	abcd 🔡
小寫	小寫 🔡
數字	數字 🔢
符號	符號 🔣
abc	abc 🔤
血型	血型 🅰️ 🆎 🅱️ 🅾️
A型	A型 🅰️
AB型	AB型 🆎
B型	B型 🅱️
O型	O型 🅾️
清除	清除 🆑
cool	cool 🆒
鑠奅	鑠奅 🆒
free	free 🆓
免費	免費 🆓
資訊	資訊 ℹ️
info	info ℹ️
身份	身份 🆔
new	new 🆕
新	新 🆕
NG	NG 🆖
P	P 🅿️
停車場	停車場 🅿️
SOS	SOS 🆘
救命	救命 🆘
up	up 🆙
VS	VS 🆚
對戰	對戰 🆚
服務費	服務費 🈂️
月	月 🈷️
有	有 🈶
指	指 🈯
得	得 🉐
俗	俗 🉐
割	割 🈹
無	無 🈚️
禁	禁 🈲
可	可 🉑
申	申 🈸
申請	申請 🈸
合	合 🈴
合格	合格 🈴
空	空 🈳
khang	空 🈳
祝	祝 ㊗️
祝福	祝福 ㊗️
祕	祕 ㊙️
營業中	營業中 🈺
滿	滿 🈵
客滿	客滿 🈵
紅色	紅色 🔴 🟥
柑仔色	柑仔色 🟠 🟧
黃色	黃色 🟡 🟨
青色	青色 🟢 🟩
藍色	藍色 🔵 🟦
紫色	紫色 🟣 🟪
茄仔色	茄仔色 🟣 🟪
咖啡色	咖啡色 🟤 🟫
圓形	圓形 ⚫ ⚪
烏色	烏色 ⚫ ⬛
白色	白色 ⚪ ⬜
四角	四角 ⬛ ⬜
菱形	菱形 🔶 🔷
三角	三角 🔺 🔻
紅三角	紅三角 🔺
倒三角	倒三角 🔻
單選	單選 🔘
格子旗	格子旗 🏁
終點	終點 🏁
旗仔	旗仔 🚩
交叉旗	交叉旗 🎌
黑旗	黑旗 🏴
白旗	白旗 🏳
投降	投降 🏳
彩虹旗	彩虹旗 🏳️‍🌈
跨性別旗	跨性別旗 🏳️‍⚧️
海賊	海賊 🏴‍☠️
